clientReference,accountReference,effectiveDateTime,iban,paymentType,paymentSubtype
30000,330000,2024-02-29,100,ACH,ACH Out
30001,330001,2024-02-28,101,ACAT,ACAT In
30002,330002,2024-02-27,102,Crypto Transfers,Transfer in
30003,330003,2024-02-26,103,ACAT,ACAT In
30004,330004,2024-02-25,104,Wire,Wire Out
30005,330005,2024-02-24,105,Wire,Wire Out
30006,330006,2024-02-23,106,ACAT,ACAT Out
30007,330007,2024-02-22,107,Wire,Wire Out
30008,330008,2024-02-21,108,Wire,Wire Out
30009,330009,2024-02-20,109,Wire,Wire Out
30010,330010,2024-02-19,110,ACH,ACH In
30011,330011,2024-02-18,111,Customer Contact,Name
30012,330012,2024-02-17,112,Wire,Wire Out
30013,330013,2024-02-16,113,Crypto Transfers,Transfer out
30014,330014,2024-02-15,114,ACH,ACH Out
30015,330015,2024-02-14,115,Customer Contact,Address
30016,330016,2024-02-13,116,ACH,ACH Out
30017,330017,2024-02-12,117,ACH,ACH Out
30018,330018,2024-02-11,118,Wire,Wire In
30019,330019,2024-02-10,119,ACH,ACH In
30020,330020,2024-02-09,120,ACH,ACH In
30021,330021,2024-02-08,121,Wire,Wire In
30022,330022,2024-02-07,122,Wire,Wire Out
30023,330023,2024-02-06,123,ACAT,ACAT Out
30024,330024,2024-02-05,124,Wire,Wire In
30025,330025,2024-02-04,125,Crypto Transfers,Transfer out
30026,330026,2024-02-03,126,ACH,ACH Out
30027,330027,2024-02-02,127,ACAT,ACAT Out
30028,330028,2024-02-01,128,ACH,ACH In
30029,330029,2024-01-31,129,Crypto Transfers,Transfer out
30030,330030,2024-01-30,130,Wire,Wire Out
30031,330031,2024-01-29,131,Crypto Transfers,Transfer out
30032,330032,2024-01-28,132,Wire,Wire In
30033,330033,2024-01-27,133,ACH,ACH In
30034,330034,2024-01-26,134,ACAT,ACAT Out
30035,330035,2024-01-25,135,ACAT,ACAT Out
30036,330036,2024-01-24,136,Customer Contact,Name
30037,330037,2024-01-23,137,Crypto Transfers,Transfer in
30038,330038,2024-01-22,138,Customer Contact,Phone Number
30039,330039,2024-01-21,139,Customer Contact,Name
30040,330040,2024-01-20,140,ACAT,ACAT Out
30041,330041,2024-01-19,141,Crypto Transfers,Transfer out
30042,330042,2024-01-18,142,ACAT,ACAT In
30043,330043,2024-01-17,143,ACAT,ACAT Out
30044,330044,2024-01-16,144,Customer Contact,Name
30045,330045,2024-01-15,145,ACAT,ACAT Out
30046,330046,2024-01-14,146,ACAT,ACAT Out
30047,330047,2024-01-13,147,Customer Contact,E-mail
30048,330048,2024-01-12,148,ACH,ACH In
30049,330049,2024-01-11,149,ACH,ACH In
30050,330050,2024-01-10,150,ACH,ACH In
30051,330051,2024-01-09,151,ACAT,ACAT Out
30052,330052,2024-01-08,152,ACAT,ACAT Out
30053,330053,2024-01-07,153,Wire,Wire Out
30054,330054,2024-01-06,154,ACAT,ACAT In
30055,330055,2024-01-05,155,ACH,ACH In
30056,330056,2024-01-04,156,Wire,Wire Out
30057,330057,2024-01-03,157,Wire,Wire In
30058,330058,2024-01-02,158,ACAT,ACAT In
30059,330059,2024-01-01,159,ACH,ACH Out
30060,330060,2023-12-31,160,Crypto Transfers,Transfer out
30061,330061,2023-12-30,161,ACAT,ACAT Out
30062,330062,2023-12-29,162,Customer Contact,Name
30063,330063,2023-12-28,163,Customer Contact,Name
30064,330064,2023-12-27,164,Customer Contact,Phone Number
30065,330065,2023-12-26,165,Customer Contact,Phone Number
30066,330066,2023-12-25,166,Wire,Wire Out
30067,330067,2023-12-24,167,ACH,ACH In
30068,330068,2023-12-23,168,Crypto Transfers,Transfer in
30069,330069,2023-12-22,169,Wire,Wire In
30070,330070,2023-12-21,170,Customer Contact,E-mail
30071,330071,2023-12-20,171,ACH,ACH In
30072,330072,2023-12-19,172,Crypto Transfers,Transfer out
30073,330073,2023-12-18,173,ACAT,ACAT Out
30074,330074,2023-12-17,174,ACH,ACH In
30075,330075,2023-12-16,175,Wire,Wire Out
30076,330076,2023-12-15,176,Crypto Transfers,Transfer out
30077,330077,2023-12-14,177,Wire,Wire Out
30078,330078,2023-12-13,178,ACH,ACH In
30079,330079,2023-12-12,179,Customer Contact,Phone Number
30080,330080,2023-12-11,180,ACH,ACH Out
30081,330081,2023-12-10,181,ACH,ACH Out
30082,330082,2023-12-09,182,Crypto Transfers,Transfer in
30083,330083,2023-12-08,183,ACH,ACH Out
30084,330084,2023-12-07,184,ACH,ACH In
30085,330085,2023-12-06,185,Customer Contact,Phone Number
30086,330086,2023-12-05,186,Wire,Wire In
30087,330087,2023-12-04,187,ACAT,ACAT Out
30088,330088,2023-12-03,188,Customer Contact,Address
30089,330089,2023-12-02,189,Crypto Transfers,Transfer in
30090,330090,2023-12-01,190,ACAT,ACAT In
30091,330091,2023-11-30,191,ACH,ACH Out
30092,330092,2023-11-29,192,Crypto Transfers,Transfer in
30093,330093,2023-11-28,193,ACAT,ACAT Out
30094,330094,2023-11-27,194,ACH,ACH Out
30095,330095,2023-11-26,195,Wire,Wire Out
30096,330096,2023-11-25,196,ACH,ACH In
30097,330097,2023-11-24,197,Wire,Wire In
30098,330098,2023-11-23,198,Customer Contact,Phone Number
30099,330099,2023-11-22,199,Wire,Wire In
30100,330100,2023-11-21,200,ACH,ACH In
30101,330101,2023-11-20,201,Customer Contact,Phone Number
30102,330102,2023-11-19,202,Customer Contact,Address
